feature,importance
content_age_days,0.11242215844479345
avg_position_90d,0.014062923051930498
word_count,0.0077706178588834215
sessions_90d,0.005794119239724937
days_since_last_update,0.00566415768668439
engagement_rate_90d,0.0045811447446797325
log_impressions_90d,0.0038609411382466317
content_type,0.001110088265554776
has_word_count,0.0
ctr_90d,-0.006709265175718837
main_intent,-0.008593707694806918
